,vintage,age,gender,dependents,occupation,city,customer_nw_category,branch_code,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,churn,last_transaction
0,2101,66,Male,0.0,self_employed,187.0,2,755,1458.71,1458.71,1458.71,1449.07,0.2,0.2,0.2,0.2,1458.71,1458.71,0,2019-05-21
1,2348,35,Male,0.0,self_employed,1020.0,2,3214,5390.37,8704.66,7799.26,12419.41,0.56,0.56,5486.27,100.56,6496.78,8787.61,0,2019-11-01
2,2194,31,Male,0.0,salaried,146.0,2,41,3913.16,5815.29,4910.17,2815.94,0.61,0.61,6046.73,259.23,5006.28,5070.14,0,NaT
4,1579,42,Male,2.0,self_employed,1494.0,3,388,927.72,1401.72,1643.31,1871.12,0.33,714.61,588.62,1538.06,1157.15,1677.16,1,2019-11-03
6,2048,72,Male,0.0,retired,1020.0,1,1,7006.93,7714.19,7859.74,11232.37,0.64,0.64,1299.64,439.26,7076.06,7755.98,0,2019-09-24
8,2053,31,Male,0.0,salaried,1096.0,2,4110,1355.86,1355.86,1702.44,1126.13,714.51,121.09,714.51,359.44,1183.45,1857.42,0,2019-12-12
10,2389,68,Male,0.0,retired,409.0,3,709,1928.76,1571.47,1722.6,747.66,443.4,0.54,0.54,208.79,1606.54,1800.15,0,2019-12-26
12,2211,73,Male,0.0,retired,44.0,3,409,554.38,5728.66,1794.39,137.25,0.33,500.33,5098.9,508.53,2541.22,2612.6,1,2019-11-14
13,1660,50,Male,0.0,salaried,409.0,1,88,4548.48,3526.01,2831.89,8075.81,0.61,0.61,1748.08,2529.75,2985.16,1536.98,0,2019-03-03
14,1917,48,Female,0.0,self_employed,665.0,2,569,5431.42,5489.14,6532.99,7720.34,0.66,661.73,0.66,2811.53,5437.04,6633.94,1,2019-11-09
15,1516,51,Female,0.0,self_employed,1232.0,3,149,2010.98,1994.84,1829.43,2415.57,0.16,0.16,128.66,360.7,1960.91,1840.23,0,NaT
16,2293,49,Male,0.0,self_employed,1125.0,3,1023,1448.49,3183.27,3021.27,1710.93,190.71,113.64,2461.66,1257.41,1950.95,3127.0,1,2019-12-31
18,2102,47,Female,1.0,self_employed,146.0,1,490,3507.71,3965.26,4356.62,3623.2,0.56,0.56,71.99,8600.56,3605.4,4022.04,0,2019-10-23
19,2181,41,Female,0.0,self_employed,1020.0,2,542,3042.7,3118.34,2843.98,2606.86,0.3,1986.01,104.44,1000.3,3101.18,2692.52,1,2019-11-30
20,1548,45,Male,0.0,self_employed,1020.0,2,501,2.18,1198.35,5003.79,1223.6,79.79,70.73,3588.76,744.73,43.07,6859.18,1,2019-12-08
21,2440,29,Female,0.0,self_employed,1020.0,2,1106,4792.6,5149.74,5569.58,4826.6,0.47,0.47,357.61,786.19,5029.05,5744.21,1,NaT
22,2105,41,Female,0.0,self_employed,905.0,2,1388,8358.47,7715.61,7819.06,7666.74,643.24,0.39,0.39,0.39,8025.96,7715.61,0,2019-12-18
24,2151,48,Male,2.0,salaried,218.0,2,221,2596.21,3023.7,4867.68,7592.46,0.6,12.45,635.56,6069.1,2847.25,4957.86,1,2019-11-14
27,2430,56,Male,0.0,self_employed,836.0,3,2421,7111.29,6971.29,7040.32,7298.14,143.26,0.4,3.26,0.4,7019.56,6971.29,0,2019-12-22
28,2189,55,Male,0.0,self_employed,118.0,1,325,6424.46,7666.31,7003.05,6322.76,63.9,18898.87,165.46,14515.19,6499.62,8589.6,0,2019-12-22
29,2060,33,Female,0.0,salaried,834.0,2,14,6152.67,6161.67,6163.13,6156.28,0.11,0.11,0.11,0.11,6152.98,6165.44,0,NaT
32,2114,54,Male,0.0,self_employed,1366.0,2,797,3294.42,3294.42,3294.42,3273.68,0.36,0.36,0.36,0.36,3294.42,3294.42,0,NaT
33,2235,90,Male,0.0,self_employed,834.0,3,8,1210.46,2364.33,4672.78,6000.44,0.2,0.2,0.2,14.49,6461.22,2087.69,0,2019-10-15
34,2119,9,Male,0.0,student,623.0,2,512,4065.35,4065.35,4065.35,4039.6,0.34,0.34,0.34,0.34,4065.35,4065.35,0,NaT
35,2278,52,Male,7.0,self_employed,549.0,2,264,7613.61,8387.76,3587.43,3397.86,0.19,0.19,1090.94,16700.25,3656.3,5707.49,0,2019-08-28
37,2144,54,Male,3.0,self_employed,1271.0,2,101,1436.71,1436.71,1436.64,1403.46,0.44,0.44,0.44,0.44,1436.71,1436.71,0,2019-10-15
38,2466,47,Male,0.0,self_employed,834.0,2,1130,5575.95,5230.81,5287.41,5404.32,357.8,0.66,0.66,0.66,5354.17,5243.52,0,2019-12-21
39,1359,34,Male,0.0,salaried,485.0,3,823,3295.17,3295.17,3518.82,3906.6,0.43,0.43,0.43,0.43,3295.17,3295.17,0,2019-09-25
43,2328,55,Female,0.0,self_employed,146.0,1,509,2899.7,3315.42,3568.09,3893.81,0.27,0.27,715.99,2328.84,3308.91,3918.18,0,2019-09-22
44,2324,17,Female,0.0,student,630.0,2,36,849.37,906.51,1496.26,2016.94,0.01,1216.86,0.01,2142.87,896.66,1670.84,0,2019-11-14
46,2264,41,Male,0.0,self_employed,52.0,2,654,1540.21,1536.52,1577.99,1795.98,1428.73,7828.73,3928.73,7143.01,751.91,2606.82,0,2019-12-20
47,1944,4,Male,0.0,student,318.0,3,1314,5717.13,5752.87,5734.71,5368.97,0.1,0.1,107.26,0.1,5700.39,5752.87,0,2019-07-24
48,2192,52,Male,3.0,self_employed,1002.0,2,303,3854.44,3402.88,7996.88,17827.68,1428.76,1428.76,78.33,10552.2,3300.27,7293.4,1,2019-12-17
51,2322,43,Male,0.0,salaried,480.0,3,249,4474.38,6617.24,7897.49,8096.35,0.51,0.51,2143.37,2714.8,5434.97,8096.5,0,2019-09-27
52,1995,65,Male,0.0,self_employed,1494.0,2,955,1443.95,1560.6,1499.63,1323.69,328.86,328.86,416.93,294.44,1547.19,1565.14,0,2019-12-14
54,2259,51,Female,0.0,self_employed,1020.0,2,15,894.72,610.75,2002.71,1029.63,487.46,487.46,120.31,3334.6,871.43,1369.55,0,2019-12-11
55,1269,72,Female,0.0,self_employed,485.0,3,717,1499.55,1499.55,1499.55,1490.06,0.31,0.31,0.31,0.31,1499.55,1499.55,0,NaT
56,2123,44,Male,0.0,self_employed,759.0,3,2530,91.47,926.03,2839.76,220.68,957.8,1429.23,0.66,14936.37,806.65,3892.54,1,2019-12-31
58,2419,43,Female,0.0,self_employed,491.0,3,615,3365.16,1936.59,1672.36,1111.34,1429.27,714.99,0.7,0.7,2281.42,1660.25,0,2019-12-24
59,1846,49,Male,1.0,self_employed,814.0,2,84,3373.21,3377.04,5647.25,8408.92,0.54,0.54,0.54,4286.26,3373.74,5900.63,0,2019-09-06
60,2260,68,Female,0.0,self_employed,1111.0,2,88,4091.66,3911.4,3817.38,3687.68,0.2,0.2,0.2,143.06,3948.7,3940.44,0,2019-10-16
62,1915,45,Female,0.0,self_employed,15.0,2,890,6036.9,5104.17,4925.66,2604.71,947.69,947.69,0.67,572.1,5688.03,4772.01,0,2019-12-13
65,2154,76,Female,0.0,self_employed,1020.0,2,47,1050.3,980.14,2147.51,2587.58,1498.99,5857.4,1428.83,7143.11,1833.64,2371.85,0,2019-12-11
66,2342,60,Male,2.0,self_employed,1178.0,2,526,5065.29,5493.38,5517.33,6507.79,65.8,65.8,493.89,65.31,5289.17,5493.32,0,2019-12-06
68,1565,21,Male,0.0,student,745.0,1,1904,7151.46,7151.46,7132.17,6939.37,0.4,0.4,0.4,0.4,7151.46,7151.46,0,2019-07-11
